image path,green_players_alive,green_ability_count,green_health_1,green_health_2,green_health_3,green_health_4,green_health_5,green_ults,red_players_alive,red_ability_count,red_health_1,red_health_2,red_health_3,red_health_4,red_health_5,red_ults,spike_countdown,green_win
output/screenshots/1718764727.878755.png,5,11,309,309,309,309,309,0,1,2,311,0,0,0,0,0,0,1
output/screenshots/1718764728.5997627.png,5,11,309,309,309,309,309,0,0,0,0,0,0,0,0,0,0,1
output/screenshots/1718764729.3419838.png,5,12,309,250,309,309,309,1,0,0,0,0,0,0,0,0,0,1
output/screenshots/1718764758.0558796.png,5,13,309,310,310,310,309,1,5,17,311,311,310,310,310,0,0,0
output/screenshots/1718764758.6917243.png,5,13,309,310,310,310,309,1,5,17,311,311,310,310,310,0,0,0
output/screenshots/1718764759.2924175.png,5,12,309,310,309,310,309,0,5,17,310,311,310,310,310,0,0,0
output/screenshots/1718764759.9465787.png,5,12,310,309,310,309,309,0,5,15,310,307,310,311,310,0,0,0
output/screenshots/1718764760.631122.png,5,12,309,309,310,309,309,0,5,17,310,311,310,311,311,0,0,0
output/screenshots/1718764761.2934575.png,5,11,309,309,310,309,309,0,5,17,311,310,311,310,310,0,0,0
output/screenshots/1718764761.973636.png,5,12,309,309,310,309,309,0,5,16,306,311,310,310,310,0,0,0
output/screenshots/1718764762.678245.png,5,12,309,309,309,309,309,0,5,16,311,310,311,311,310,0,0,0
output/screenshots/1718764763.3443284.png,5,11,309,309,309,309,309,0,5,15,310,311,311,311,310,0,0,0
output/screenshots/1718764764.0321445.png,5,11,309,309,309,309,309,0,5,13,311,311,311,311,311,0,0,0
output/screenshots/1718764764.6910272.png,5,11,309,309,309,309,309,0,5,16,311,311,311,310,311,0,0,0
output/screenshots/1718764765.3547738.png,5,11,309,309,309,309,309,0,5,15,311,311,311,310,309,0,0,0
output/screenshots/1718764766.0113242.png,5,12,309,309,309,309,309,0,5,14,311,311,312,307,310,0,0,0
output/screenshots/1718764766.6862826.png,5,11,309,309,309,309,309,0,5,15,310,311,311,311,310,0,0,0
output/screenshots/1718764767.345885.png,5,11,309,309,309,309,309,0,5,15,310,311,311,310,310,0,0,0
output/screenshots/1718764768.0056543.png,5,11,309,309,309,309,309,0,5,11,311,311,310,310,311,0,0,0
output/screenshots/1718764768.678014.png,5,11,310,309,309,309,309,0,5,12,311,311,311,310,311,0,0,0
output/screenshots/1718764769.336502.png,5,1,308,308,311,309,309,0,5,9,312,311,311,307,312,0,0,0
output/screenshots/1718764769.9833758.png,5,11,309,309,309,309,311,0,5,12,310,311,311,310,311,0,0,0
output/screenshots/1718764770.6378908.png,5,10,309,309,309,309,309,0,5,12,310,310,310,311,311,0,0,0
output/screenshots/1718764771.3089478.png,5,10,309,309,309,309,309,0,5,12,308,310,309,309,311,0,0,0
output/screenshots/1718764771.9601107.png,5,10,309,309,309,309,309,0,5,12,310,310,310,310,311,0,0,0
output/screenshots/1718764772.6036515.png,5,10,309,309,309,309,309,0,5,12,308,310,310,309,311,0,0,0
output/screenshots/1718764773.254442.png,5,10,309,308,309,309,309,0,5,12,310,311,311,309,311,0,0,0
output/screenshots/1718764773.9635532.png,5,10,309,308,309,309,309,0,5,12,310,311,311,309,311,0,0,0
output/screenshots/1718764774.6293514.png,7,10,171,112,217,80,309,0,5,12,309,310,311,310,311,0,0,0
output/screenshots/1718764775.3135407.png,5,10,309,309,309,309,309,0,5,12,310,310,310,310,311,0,0,0
output/screenshots/1718764775.9850788.png,5,10,309,309,309,309,309,0,5,12,310,310,310,310,310,0,0,0
output/screenshots/1718764776.6534138.png,5,9,309,309,309,309,309,0,5,12,310,310,310,310,310,0,0,0
output/screenshots/1718764777.3022141.png,5,9,309,309,309,309,309,0,5,12,310,310,310,310,310,0,0,0
output/screenshots/1718764777.964839.png,5,9,309,309,309,309,309,0,5,11,310,310,310,310,310,0,0,0
output/screenshots/1718764778.6391358.png,5,9,309,309,309,309,309,0,5,11,310,310,310,310,310,0,0,0
output/screenshots/1718764779.3083138.png,5,9,309,309,309,309,309,0,5,11,310,310,310,310,310,0,0,0
output/screenshots/1718764779.9596937.png,5,9,309,309,309,309,309,0,5,10,310,310,310,310,310,0,0,0
output/screenshots/1718764780.6123934.png,5,9,309,309,309,309,309,0,5,10,310,310,310,310,310,0,0,0
output/screenshots/1718764781.2751675.png,4,6,309,310,309,309,0,0,5,8,310,310,310,311,310,0,0,0
output/screenshots/1718764781.942944.png,4,7,309,309,309,309,0,0,5,8,311,311,310,311,310,0,0,0
output/screenshots/1718764782.6131544.png,4,6,310,309,310,309,0,0,5,8,308,310,310,311,309,0,0,0
output/screenshots/1718764783.2456343.png,4,6,309,310,309,309,0,0,5,8,310,307,310,311,311,0,0,0
output/screenshots/1718764783.9206576.png,4,6,311,309,309,309,0,0,5,8,310,311,310,311,311,0,0,0
output/screenshots/1718764784.5701802.png,4,4,310,309,309,309,0,0,5,8,311,311,310,311,310,0,0,0
output/screenshots/1718764785.2310798.png,4,6,309,309,309,309,0,0,5,8,311,312,310,310,311,0,0,0
output/screenshots/1718764785.8850765.png,4,6,309,309,309,309,0,0,5,7,311,311,310,311,311,0,0,0
output/screenshots/1718764786.53804.png,4,6,309,309,309,309,0,0,5,7,311,311,310,310,310,0,0,0
output/screenshots/1718764787.190353.png,4,6,309,310,310,309,0,0,5,7,311,310,311,311,311,0,0,0
output/screenshots/1718764787.844316.png,4,6,309,310,310,309,0,0,5,6,311,311,310,310,311,0,0,0
output/screenshots/1718764788.51392.png,4,6,310,310,310,309,0,0,5,6,311,311,310,310,310,0,0,0
output/screenshots/1718764789.1780305.png,4,5,309,277,308,309,0,0,5,6,311,311,308,311,311,0,0,0
output/screenshots/1718764789.8534942.png,3,4,309,309,310,0,0,0,5,6,311,311,308,306,311,0,0,0
output/screenshots/1718764790.513698.png,3,3,309,309,309,0,0,0,5,6,311,311,310,310,311,0,0,0
output/screenshots/1718764791.1693408.png,2,3,309,310,0,0,0,0,5,6,311,311,310,310,244,0,0,0
output/screenshots/1718764791.8612885.png,2,3,309,310,0,0,0,0,4,5,310,311,22,311,0,0,0,0
output/screenshots/1718764792.5400054.png,2,3,310,309,0,0,0,0,4,5,311,312,311,309,0,0,0.5,0
output/screenshots/1718764793.2178385.png,2,3,309,309,0,0,0,0,4,5,310,311,304,311,0,0,1.0,0
output/screenshots/1718764793.8760028.png,2,3,216,309,0,0,0,0,3,3,310,311,310,0,0,0,1.5,0
output/screenshots/1718764794.5398324.png,2,3,216,309,0,0,0,0,3,3,311,311,311,0,0,0,2.0,0
output/screenshots/1718764795.2026136.png,2,3,216,309,0,0,0,0,3,3,311,311,311,0,0,0,2.5,0
output/screenshots/1718764795.8646529.png,2,3,215,309,0,0,0,0,3,3,310,311,310,0,0,0,3.0,0
output/screenshots/1718764796.5418956.png,2,3,215,309,0,0,0,0,2,3,311,311,0,0,0,0,3.5,0
output/screenshots/1718764797.2054102.png,2,3,215,309,0,0,0,0,3,3,310,310,311,0,0,0,4.0,0
output/screenshots/1718764797.863994.png,1,2,215,0,0,0,0,0,3,3,310,311,310,0,0,0,4.5,0
output/screenshots/1718764798.5099473.png,0,0,0,0,0,0,0,0,3,3,310,310,310,0,0,0,5.0,0
output/screenshots/1718764799.164038.png,0,0,0,0,0,0,0,0,4,3,311,226,72,310,0,0,5.5,0
output/screenshots/1718764799.8293314.png,0,0,0,0,0,0,0,0,3,3,310,311,310,0,0,0,6.0,0
output/screenshots/1718764800.494438.png,0,0,0,0,0,0,0,0,3,3,310,311,310,0,0,0,6.5,0
output/screenshots/1718764801.1577768.png,0,0,0,0,0,0,0,0,3,3,310,311,310,0,0,0,7.0,0
output/screenshots/1718764816.8500955.png,5,17,309,309,309,309,309,0,5,22,309,311,311,311,310,1,0,0
output/screenshots/1718764817.4859142.png,5,15,309,309,309,309,309,0,5,22,311,311,311,311,310,1,0,0
output/screenshots/1718764818.0952516.png,5,15,309,309,309,309,309,0,5,22,311,311,310,310,310,1,0,0
output/screenshots/1718764818.7627618.png,5,15,309,309,309,309,309,0,5,21,311,310,310,310,310,1,0,0
output/screenshots/1718764819.4132724.png,5,15,309,309,309,309,309,0,5,21,310,310,310,310,310,1,0,0
output/screenshots/1718764820.0844426.png,5,15,309,309,309,309,309,0,5,21,310,310,310,310,310,1,0,0
output/screenshots/1718764820.7365687.png,5,15,309,309,309,309,309,0,5,21,310,310,310,310,310,1,0,0
output/screenshots/1718764821.3976302.png,5,15,309,309,309,309,309,0,5,20,310,310,310,310,310,1,0,0
output/screenshots/1718764822.0532825.png,5,16,309,309,309,309,309,0,5,20,310,310,310,310,310,1,0,0
output/screenshots/1718764822.7351778.png,5,14,309,309,309,309,309,0,5,19,310,310,310,310,310,1,0,0
output/screenshots/1718764823.3977444.png,5,13,309,309,309,309,309,0,5,19,310,310,310,310,310,1,0,0
output/screenshots/1718764824.058608.png,5,13,309,309,309,309,309,0,5,19,310,310,310,310,310,1,0,0
output/screenshots/1718764824.7077725.png,5,13,309,309,309,309,309,0,5,18,310,310,310,310,310,1,0,0
output/screenshots/1718764825.378929.png,5,13,309,309,309,309,309,0,5,17,310,310,310,310,310,1,0,0
output/screenshots/1718764826.0566633.png,5,13,309,309,309,309,309,0,5,17,310,310,310,310,310,1,0,0
output/screenshots/1718764826.727851.png,5,13,309,309,309,309,309,0,4,11,311,311,311,311,0,1,0,0
output/screenshots/1718764827.3845537.png,5,13,309,309,309,309,309,0,4,11,311,311,311,311,0,1,0,0
output/screenshots/1718764828.057636.png,5,13,309,309,309,309,309,0,4,11,311,310,310,311,0,1,0,0
output/screenshots/1718764828.7339559.png,5,13,309,309,309,309,309,0,4,10,310,310,311,311,0,1,0,0
output/screenshots/1718764829.3987288.png,5,12,309,309,309,309,309,0,4,8,310,310,311,312,0,2,0,0
output/screenshots/1718764830.0679226.png,5,12,309,309,309,309,309,0,4,10,310,311,310,311,0,1,0,0
output/screenshots/1718764830.7228086.png,5,12,309,309,309,309,310,1,4,9,311,311,310,311,0,1,0,0
output/screenshots/1718764831.3808832.png,5,12,309,309,309,309,310,0,4,9,311,311,310,310,0,1,0,0
output/screenshots/1718764832.027849.png,5,12,309,309,309,309,310,0,4,9,310,311,310,311,0,1,0,0
output/screenshots/1718764832.6955879.png,5,11,310,309,309,309,310,0,4,8,310,311,310,311,0,0,0,0
output/screenshots/1718764833.3670151.png,5,10,309,309,308,309,310,0,4,7,311,311,310,311,0,0,0,0
output/screenshots/1718764834.0424795.png,4,10,310,309,309,310,0,0,4,7,310,311,308,311,0,0,0,0
output/screenshots/1718764834.7139215.png,3,8,311,309,309,0,0,0,4,7,311,311,309,311,0,0,0,0
output/screenshots/1718764835.3560112.png,3,8,308,309,309,0,0,0,4,7,310,311,311,311,0,0,0,0
output/screenshots/1718764836.024302.png,3,8,310,309,310,0,0,0,4,7,310,311,310,311,0,0,0,0
output/screenshots/1718764836.700098.png,3,7,309,309,310,0,0,0,4,7,310,311,311,311,0,0,0,0
output/screenshots/1718764837.3542087.png,3,7,310,309,309,0,0,0,3,5,310,311,309,0,0,0,0,0
output/screenshots/1718764838.015448.png,2,7,309,309,0,0,0,0,3,4,311,311,310,0,0,0,0,0
output/screenshots/1718764838.6982791.png,2,4,310,309,0,0,0,0,2,4,311,311,0,0,0,0,0,0
output/screenshots/1718764839.3732717.png,2,4,310,309,0,0,0,0,3,4,310,311,311,0,0,0,0,0
output/screenshots/1718764840.0383463.png,2,4,309,309,0,0,0,0,3,4,310,310,311,0,0,0,0,0
output/screenshots/1718764840.6917133.png,2,4,309,309,0,0,0,0,3,3,310,309,311,0,0,0,0,0
output/screenshots/1718764841.354194.png,2,4,309,309,0,0,0,0,3,3,310,311,311,0,0,0,0,0
output/screenshots/1718764842.016836.png,2,4,309,309,0,0,0,0,3,3,310,310,311,0,0,0,0,0
output/screenshots/1718764842.7348983.png,2,4,309,309,0,0,0,0,3,3,310,310,311,0,0,0,0,0
output/screenshots/1718764843.391203.png,2,4,309,309,0,0,0,0,3,3,311,311,311,0,0,0,0,0
output/screenshots/1718764844.060876.png,1,2,309,0,0,0,0,0,3,3,310,311,311,0,0,0,0,0
output/screenshots/1718764844.7268026.png,1,2,309,0,0,0,0,0,3,3,310,311,311,0,0,0,0,0
output/screenshots/1718764845.3976197.png,1,2,309,0,0,0,0,0,3,3,310,311,311,0,0,0,0,0
output/screenshots/1718764846.056552.png,1,2,309,0,0,0,0,0,3,3,310,311,310,0,0,0,0,0
output/screenshots/1718764846.7166495.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764847.4053626.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764848.0918598.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764848.7667718.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
output/screenshots/1718764849.4394832.png,1,2,309,0,0,0,0,0,3,2,310,311,310,0,0,0,0,0
